2022-06-16 17:24:28 status config-files linux-modules-4.15.0-187-generic:amd64 4.15.0-187.198
2022-06-16 17:24:28 startup packages configure
2022-06-16 17:24:29 startup packages purge
2022-06-16 17:24:29 purge linux-image-4.15.0-187-generic:amd64 4.15.0-187.198 <none>
2022-06-16 17:24:29 status config-files linux-image-4.15.0-187-generic:amd64 4.15.0-187.198
2022-06-16 17:24:29 status config-files linux-image-4.15.0-187-generic:amd64 4.15.0-187.198
2022-06-16 17:24:29 status config-files linux-image-4.15.0-187-generic:amd64 4.15.0-187.198
2022-06-16 17:24:29 status config-files linux-image-4.15.0-187-generic:amd64 4.15.0-187.198
2022-06-16 17:24:29 status config-files linux-image-4.15.0-187-generic:amd64 4.15.0-187.198
2022-06-16 17:24:29 status not-installed linux-image-4.15.0-187-generic:amd64 <none>
2022-06-16 17:24:29 purge linux-modules-4.15.0-187-generic:amd64 4.15.0-187.198 <none>
2022-06-16 17:24:29 status config-files linux-modules-4.15.0-187-generic:amd64 4.15.0-187.198
2022-06-16 17:24:29 status config-files linux-modules-4.15.0-187-generic:amd64 4.15.0-187.198
2022-06-16 17:24:29 status config-files linux-modules-4.15.0-187-generic:amd64 4.15.0-187.198
2022-06-16 17:24:29 status config-files linux-modules-4.15.0-187-generic:amd64 4.15.0-187.198
2022-06-16 17:24:29 status config-files linux-modules-4.15.0-187-generic:amd64 4.15.0-187.198
2022-06-16 17:24:29 status not-installed linux-modules-4.15.0-187-generic:amd64 <none>
2022-06-16 17:24:29 startup packages configure
2022-06-16 17:24:34 startup archives unpack
2022-06-16 17:24:34 install linux-modules-5.4.0-1080-aws:amd64 <none> 5.4.0-1080.87~18.04.1
2022-06-16 17:24:34 status half-installed linux-modules-5.4.0-1080-aws:amd64 5.4.0-1080.87~18.04.1
2022-06-16 17:24:36 status unpacked linux-modules-5.4.0-1080-aws:amd64 5.4.0-1080.87~18.04.1
2022-06-16 17:24:36 status unpacked linux-modules-5.4.0-1080-aws:amd64 5.4.0-1080.87~18.04.1
2022-06-16 17:24:36 install linux-image-5.4.0-1080-aws:amd64 <none> 5.4.0-1080.87~18.04.1
2022-06-16 17:24:36 status half-installed linux-image-5.4.0-1080-aws:amd64 5.4.0-1080.87~18.04.1
2022-06-16 17:24:36 status unpacked linux-image-5.4.0-1080-aws:amd64 5.4.0-1080.87~18.04.1
2022-06-16 17:24:36 status unpacked linux-image-5.4.0-1080-aws:amd64 5.4.0-1080.87~18.04.1
2022-06-16 17:24:36 install linux-image-aws:amd64 <none> 5.4.0.1080.60
2022-06-16 17:24:36 status half-installed linux-image-aws:amd64 5.4.0.1080.60
2022-06-16 17:24:36 status unpacked linux-image-aws:amd64 5.4.0.1080.60
2022-06-16 17:24:36 status unpacked linux-image-aws:amd64 5.4.0.1080.60
2022-06-16 17:24:36 install linux-aws-5.4-headers-5.4.0-1080:all <none> 5.4.0-1080.87~18.04.1
2022-06-16 17:24:36 status half-installed linux-aws-5.4-headers-5.4.0-1080:all 5.4.0-1080.87~18.04.1
2022-06-16 17:24:39 status unpacked linux-aws-5.4-headers-5.4.0-1080:all 5.4.0-1080.87~18.04.1
2022-06-16 17:24:39 status unpacked linux-aws-5.4-headers-5.4.0-1080:all 5.4.0-1080.87~18.04.1
2022-06-16 17:24:39 install linux-headers-5.4.0-1080-aws:amd64 <none> 5.4.0-1080.87~18.04.1
2022-06-16 17:24:39 status half-installed linux-headers-5.4.0-1080-aws:amd64 5.4.0-1080.87~18.04.1
2022-06-16 17:24:40 status unpacked linux-headers-5.4.0-1080-aws:amd64 5.4.0-1080.87~18.04.1
2022-06-16 17:24:40 status unpacked linux-headers-5.4.0-1080-aws:amd64 5.4.0-1080.87~18.04.1
2022-06-16 17:24:40 install linux-headers-aws:amd64 <none> 5.4.0.1080.60
2022-06-16 17:24:40 status half-installed linux-headers-aws:amd64 5.4.0.1080.60
2022-06-16 17:24:40 status unpacked linux-headers-aws:amd64 5.4.0.1080.60
2022-06-16 17:24:40 status unpacked linux-headers-aws:amd64 5.4.0.1080.60
2022-06-16 17:24:40 install linux-aws:amd64 <none> 5.4.0.1080.60
2022-06-16 17:24:40 status half-installed linux-aws:amd64 5.4.0.1080.60
2022-06-16 17:24:40 status unpacked linux-aws:amd64 5.4.0.1080.60
2022-06-16 17:24:40 status unpacked linux-aws:amd64 5.4.0.1080.60
2022-06-16 17:24:40 startup packages configure
2022-06-16 17:24:40 configure linux-aws-5.4-headers-5.4.0-1080:all 5.4.0-1080.87~18.04.1 <none>
2022-06-16 17:24:40 status unpacked linux-aws-5.4-headers-5.4.0-1080:all 5.4.0-1080.87~18.04.1
2022-06-16 17:24:40 status half-configured linux-aws-5.4-headers-5.4.0-1080:all 5.4.0-1080.87~18.04.1
2022-06-16 17:24:40 status installed linux-aws-5.4-headers-5.4.0-1080:all 5.4.0-1080.87~18.04.1
2022-06-16 17:24:40 configure linux-modules-5.4.0-1080-aws:amd64 5.4.0-1080.87~18.04.1 <none>
2022-06-16 17:24:40 status unpacked linux-modules-5.4.0-1080-aws:amd64 5.4.0-1080.87~18.04.1
2022-06-16 17:24:40 status half-configured linux-modules-5.4.0-1080-aws:amd64 5.4.0-1080.87~18.04.1
2022-06-16 17:24:40 status installed linux-modules-5.4.0-1080-aws:amd64 5.4.0-1080.87~18.04.1
2022-06-16 17:24:40 configure linux-image-5.4.0-1080-aws:amd64 5.4.0-1080.87~18.04.1 <none>
2022-06-16 17:24:40 status unpacked linux-image-5.4.0-1080-aws:amd64 5.4.0-1080.87~18.04.1
2022-06-16 17:24:40 status half-configured linux-image-5.4.0-1080-aws:amd64 5.4.0-1080.87~18.04.1
2022-06-16 17:24:40 status installed linux-image-5.4.0-1080-aws:amd64 5.4.0-1080.87~18.04.1
2022-06-16 17:24:40 status triggers-pending linux-image-5.4.0-1080-aws:amd64 5.4.0-1080.87~18.04.1
2022-06-16 17:24:40 configure linux-headers-5.4.0-1080-aws:amd64 5.4.0-1080.87~18.04.1 <none>
2022-06-16 17:24:40 status unpacked linux-headers-5.4.0-1080-aws:amd64 5.4.0-1080.87~18.04.1
2022-06-16 17:24:40 status half-configured linux-headers-5.4.0-1080-aws:amd64 5.4.0-1080.87~18.04.1
2022-06-16 17:24:40 status installed linux-headers-5.4.0-1080-aws:amd64 5.4.0-1080.87~18.04.1
2022-06-16 17:24:40 configure linux-image-aws:amd64 5.4.0.1080.60 <none>
2022-06-16 17:24:40 status unpacked linux-image-aws:amd64 5.4.0.1080.60
2022-06-16 17:24:40 status half-configured linux-image-aws:amd64 5.4.0.1080.60
